pod_name,node_name,node_group,namespace,owner_kind,owner_name,req_cpu_milli_core,req_mem_byte,limit_cpu_mili_core,limit_mem_bytes
d2717d2f0c8000fa8dd9eb3c908f04b8,ip-172-29-34-223.ec2.internal,1,monitoring,DaemonSet,1ac15354847d26be4cfecfb4de789729,0,0,0,0
1e3f5925078cc42a5eda8829a8cbb765,ip-172-29-32-56.ec2.internal,1,monitoring,StatefulSet,58fe5db2c0858422fc22735b087406ad,0,0,0,0
351fa55391cb1a67db9b0c30b0baef94,ip-172-29-35-252.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
18e699e5c478344d014f6cc66abf2996,ip-172-29-32-207.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
6c296daa438e7f5f6dfc307a8e34432d,ip-172-29-34-65.ec2.internal,1,kube-system,DaemonSet,f4928ee7ea1ab0b3ae6cae5224c5cc14,250,0,0,0
7eff9f2abc15089713126eedae29b05e,ip-172-29-32-56.ec2.internal,1,monitoring,DaemonSet,86cd8075b192703711163a58803ee2f7,0,0,0,0
5d3ab0820dce343e6c1fcb89bf8eeb05,ip-172-29-33-160.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
c02cfd09479347589565756145b455b7,ip-172-29-33-23.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
bf62abd61b4fb0cc241709c608ea750d,ip-172-29-32-147.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
5f605144e53ec636ba1df5ea04227ae0,ip-172-29-35-66.ec2.internal,1,monitoring,DaemonSet,d04412633b8bee500329d7fbbc47561c,100,104857600,0,209715200
4f91e84a21f513c9ffe1527dc0c696bf,ip-172-29-32-32.ec2.internal,1,staging,ReplicaSet,14cbf772651b8af2f1bd9e3fcbe12073,50,1073741824,0,0
d0ff4d6082e90d3f69cdddd7a886f617,ip-172-29-33-110.ec2.internal,1,staging,ReplicaSet,a78fafd8233ed253248cce11d5342632,100,1073741824,0,0
900a258970c00521d5e31a992b9fe128,ip-172-29-35-66.ec2.internal,1,kube-system,DaemonSet,ea11065c99d9485fc7fe03aa1b668c20,0,0,0,0
e1e2f2c6b3f12b7dd6673347697402e2,ip-172-29-34-152.ec2.internal,1,monitoring,DaemonSet,57eb891f0731d873968a2a4e1cda50fd,20,67108864,100,134217728
bc7ca48422497a627192ee12d9d14424,ip-172-29-34-45.ec2.internal,1,monitoring,DaemonSet,1b8f17886efd6187794d337db78af4f0,0,0,0,0
33715bde2cab8a57cd225fb6af908ed7,ip-172-29-32-79.ec2.internal,1,monitoring,DaemonSet,bdb7d6c8c035870574be8cbb114c876c,20,67108864,100,134217728
